Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-6,9,42,-12,13,5,1,-128
-2,-1,-2,60,33,-3,4,-128
10,-14,-88,-51,0,3,13,-128
-4,10,17,19,13,0,-9,-128
-4,-5,-3,-2,-16,-4,1,-128
-2,-2,6,3,-4,-4,-6,-128
-2,1,-2,7,-11,-8,-1,-128
-7,-3,-5,-24,-14,-5,-5,-128
3,4,4,-17,-52,-7,-2,-128
-5,-5,1,12,46,3,-1,-128
7,-1,17,11,29,10,8,-128
-7,-18,-16,6,24,1,-5,-128
-7,-1,1,-8,-10,-9,-3,-128
0,13,30,-25,-25,-8,0,-128
3,0,-30,50,19,8,5,-128
1,1,11,-11,4,6,-5,-128
-7,-8,2,9,3,-1,-4,-128
0,5,4,-27,-17,-4,-4,-128
6,-3,-4,-1,-11,-4,0,-128
2,3,0,13,0,-2,4,-128
-4,2,2,-6,-6,2,-4,-128
-3,1,5,-19,-25,-2,-4,-128
-3,-16,-16,25,31,1,2,-128
-1,5,4,69,34,1,-3,-128
-8,-3,5,-60,-49,-19,-5,-128
-5,9,9,-10,-9,4,2,-128
-5,-9,-11,19,16,6,0,-128
-10,-1,21,9,4,-1,-9,-128
6,-2,5,12,-14,-6,1,-128
13,3,-30,0,-9,-5,-1,-128
0,8,-7,-12,-12,-5,-3,-128
-7,1,-14,-33,-3,-5,-8,-128
0,-6,-21,5,-11,-1,7,-128
-5,-4,35,14,13,2,-4,-128
-9,-12,-78,-21,-4,4,3,-128
-2,-1,9,8,3,-3,-2,-128
8,10,-3,-22,-28,-4,0,-128
-6,-14,-23,13,22,1,1,-128
-4,-9,-11,-8,-11,-8,-2,-128
-6,6,25,-13,-5,-1,-8,-128
-4,-3,48,-51,-44,-12,-3,-128
6,4,0,52,55,21,12,-128
-2,6,-13,-8,-8,-8,-4,-128
-4,-14,-20,-11,-28,-8,-10,-128
-1,3,11,-34,-21,-4,4,-128
-4,-3,4,0,23,2,-8,-128
4,9,8,-1,-20,-3,8,-128
1,-28,8,-13,-21,-6,3,-128
-1,8,-19,24,36,5,2,-128
-3,-15,-94,9,26,-7,-24,-128
3,10,29,29,10,-1,-9,-128
-12,-17,-4,-6,-2,7,-6,-128
-3,-8,17,-7,-11,3,3,-128
1,3,9,-16,-17,-6,3,-128
-8,-6,-5,-22,-46,-12,-3,-128
3,9,8,-34,-24,0,2,-128
-6,-1,-5,62,36,0,2,-128
-5,-6,-13,-26,-22,-4,-19,-128
1,-24,-11,-16,6,-6,-3,-128
-1,-18,3,2,17,11,5,-128
-4,2,-14,-22,-36,-16,-3,-128
-4,-6,-3,-54,-57,-12,-4,-128
3,1,5,59,35,5,5,-128
7,13,25,16,19,2,-3,-128
1,-2,-19,-51,-31,-2,-5,-128
-5,-6,0,52,61,10,-4,-128
0,3,48,-4,-2,-6,3,-128
3,2,-31,-6,-10,4,6,-128
-10,-8,-15,-33,-24,-8,-6,-128
-6,5,7,-23,-20,0,-5,-128
4,2,10,20,51,8,0,-128
3,-6,6,3,4,-8,-3,-128
-1,-9,2,-4,-5,1,-2,-128
-5,0,-15,15,6,-1,-6,-128
-9,1,5,-19,-47,-8,-6,-128
-3,7,48,27,63,10,-4,-128
1,-1,-1,10,16,5,4,-128
-1,0,-5,0,-9,-7,3,-128
-3,-11,-17,-6,-6,-2,4,-128
-4,-13,-13,31,-28,-11,-5,-128
1,8,-22,-58,-19,-3,0,-128
2,24,64,15,21,6,0,-128
-2,-11,-61,-9,-7,-4,0,-128
0,0,19,3,-20,-6,0,-128
-3,1,7,1,4,-3,-9,-128
-8,-4,-5,-12,-14,-6,-5,-128
1,-7,-26,-13,-14,-4,0,-128
14,9,28,14,26,9,-4,-128
-2,-1,28,-30,-12,-4,-7,-128
2,3,-16,46,18,6,3,-128
-3,-2,3,-33,2,3,-3,-128
-1,3,17,1,-15,-3,5,-128
-8,4,-19,2,-3,-7,-4,-128
13,2,-9,-15,-31,2,2,-128
-1,-6,6,16,49,0,-9,-128
0,10,27,-10,-40,-13,-1,-128
-7,5,23,19,-14,-7,-6,-128
-2,-6,-68,-1,28,9,12,-128
-3,-4,-26,-7,-40,-9,-4,-128
0,8,0,-8,32,16,10,-128
-4,-22,17,20,2,-8,-3,-128
-6,-4,35,-3,-27,-12,-7,-128
1,-1,2,-21,0,2,3,-128
1,6,-19,6,-20,-6,-1,-128
0,3,5,13,-2,-2,-6,-128
2,-7,6,-8,55,10,-5,-128
1,-2,-21,1,6,-1,-1,-128
-1,7,-2,7,-2,-1,2,-128
1,2,-6,-19,-2,-2,1,-128
1,-7,17,-3,-19,-3,-5,-128
0,5,15,42,0,-4,1,-128
-3,0,-3,-18,-6,-2,2,-128
2,3,-1,16,12,4,-9,-128
2,1,-1,-23,-9,-4,2,-128
-9,-10,42,-40,-27,-15,-7,-128
-3,-9,-116,4,-8,-5,-4,-128
-2,0,-2,0,41,7,1,-128
-8,-7,0,24,5,8,1,-128
-10,-9,-2,-25,-47,-14,-7,-128
9,6,40,-46,4,11,9,-128
7,5,-7,50,74,6,4,-128
5,9,-4,5,-9,-4,2,-128
-7,-18,-14,1,-38,-16,-12,-128
-5,-9,-13,-32,13,-3,-1,-128
-2,12,52,4,-19,-5,-3,-128
1,14,82,-10,-2,-2,0,-128
