Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
-2,-2,-36,-3,-4,-5,-1,-128
-2,-2,-4,-5,-1,-1,0,-128
0,0,-1,1,0,1,-1,-128
-4,0,12,3,-3,-2,-2,-128
-3,-2,-47,-5,-5,-4,0,-128
-2,-7,13,-4,-1,-1,-1,-128
-5,-5,4,-2,-6,-1,1,-128
0,0,-23,0,-3,-4,-1,-128
0,-3,2,7,2,-4,-2,-128
-1,0,-5,4,1,-4,-4,-128
-1,1,19,-17,-8,-3,-3,-128
-3,-3,1,-6,-2,0,2,-128
-1,-2,-6,2,1,3,3,-128
-1,-3,-7,1,-1,-1,0,-128
-1,-6,-11,-4,0,0,-2,-128
1,3,5,4,0,1,1,-128
-1,-2,-8,3,-2,-6,0,-128
-2,0,4,-10,-2,-3,-2,-128
-2,-5,-5,1,-3,-3,-4,-128
0,0,-3,-4,-1,-3,1,-128
2,-1,9,-1,-2,-1,-2,-128
-1,-7,-15,-1,-4,-3,-3,-128
-4,-3,20,1,0,-1,0,-128
-2,-2,-2,-2,-3,-2,0,-128
0,-2,-8,-3,-1,0,-1,-128
-2,2,-8,1,1,-1,0,-128
0,0,41,2,-1,1,-2,-128
0,-3,-53,-3,-1,-1,-1,-128
-1,-3,22,3,-1,0,-1,-128
-2,3,37,2,1,-2,-2,-128
-3,0,-12,-9,-3,-3,-4,-128
-1,-1,4,-3,-3,0,1,-128
0,2,3,1,-2,-1,-3,-128
-2,-5,8,1,-3,-4,-2,-128
-4,-2,-34,-3,-1,-3,-3,-128
-3,-1,1,-1,-1,0,-1,-128
-2,-1,5,-2,-5,-5,-1,-128
1,-2,1,2,0,-2,1,-128
-1,-3,-1,2,-1,-4,-3,-128
-2,-1,3,1,-2,2,0,-128
-3,-4,28,-4,-3,-2,-3,-128
-1,-5,-9,3,-2,-3,-3,-128
0,-1,-2,0,-3,-3,-3,-128
-2,0,7,-5,1,-1,-3,-128
-2,0,-1,-4,-1,-1,-1,-128
-3,-2,-8,-5,-3,-4,0,-128
0,-2,-17,0,-2,0,-4,-128
-3,-1,55,1,0,-3,-4,-128
-4,3,14,1,-2,0,-2,-128
-1,-2,-28,0,0,1,-2,-128
-3,-7,-12,-3,-5,-2,-3,-128
-2,-3,13,-7,0,-1,-2,-128
-2,-1,1,2,3,2,0,-128
2,1,18,4,4,-1,-2,-128
0,-9,-76,0,1,-1,-1,-128
-2,-3,-13,-8,-4,-3,-2,-128
-4,0,6,-4,-7,-5,-4,-128
0,-2,-4,-2,-6,-4,0,-128
-2,4,9,-1,1,-1,-2,-128
0,-6,16,1,-3,-3,-3,-128
-2,-6,-54,0,2,0,0,-128
-2,-3,26,1,-1,-3,-2,-128
2,-2,25,-3,-6,-3,-1,-128
-2,0,-6,-6,-4,1,-2,-128
-2,-1,-7,-3,-1,-1,-3,-128
-1,-1,-2,-2,-2,-2,-1,-128
-2,1,0,1,-2,-1,0,-128
-3,-1,-2,-5,-1,2,-3,-128
-1,3,5,0,-1,-3,-5,-128
1,-2,6,-1,-2,-1,-1,-128
-4,-15,-13,-8,-2,-1,-3,-128
-4,-1,-16,5,3,0,0,-128
-1,2,24,5,-1,-2,0,-128
0,-2,-22,-11,-5,-2,-4,-128
-2,-2,-23,2,0,1,-2,-128
2,2,48,2,2,-3,-2,-128
-5,-4,16,-3,-4,-3,-4,-128
0,-2,-20,-2,-3,-1,0,-128
2,-3,-31,-4,-2,-1,0,-128
-2,-1,19,2,-1,-1,-1,-128
-7,0,1,-1,0,-1,-4,-128
-2,-2,2,-3,-3,-3,0,-128
-3,-3,-4,-2,-1,-1,2,-128
-1,-2,-6,-1,1,0,-2,-128
-5,-4,-5,-2,-1,0,1,-128
0,-5,-4,2,-4,-2,-2,-128
1,-1,-7,0,0,1,2,-128
-1,2,49,-5,-2,-3,-1,-128
4,-3,-62,-6,4,-1,-1,-128
-1,-5,-62,-5,-3,-4,1,-128
-5,-4,-3,2,-1,-2,0,-128
-2,2,4,-7,-1,-2,-3,-128
-4,0,11,0,-2,1,1,-128
-2,3,8,0,-3,0,-1,-128
-1,-4,-8,-7,-4,-3,-5,-128
0,-2,6,4,1,3,-2,-128
-2,0,16,-1,0,-2,0,-128
-1,-3,-5,-3,-3,-1,-2,-128
-1,-1,-3,-4,-1,-4,-2,-128
0,-1,-3,0,-1,-1,0,-128
2,-1,-16,2,1,0,-2,-128
-3,-1,-14,5,1,-2,-2,-128
-1,-1,36,-5,0,0,-2,-128
-3,-8,-20,-16,-5,-3,1,-128
1,1,-22,-1,-2,-1,0,-128
-2,0,52,6,2,-2,-5,-128
0,-4,-48,-4,-5,-4,-1,-128
-2,-3,28,-2,-2,-2,-3,-128
-1,-2,8,1,-2,-3,0,-128
1,0,1,1,0,2,0,-128
-1,-3,6,-3,3,-2,-2,-128
-2,2,0,-5,-2,0,0,-128
1,0,-12,-1,-2,-4,-1,-128
-4,-2,25,-1,-1,-5,-2,-128
-1,-6,-3,-3,0,-1,-2,-128
-2,-2,-15,-7,-6,0,-2,-128
-3,1,4,0,-2,-2,-1,-128
-1,-5,-2,2,0,-4,-1,-128
-1,0,-14,-6,-2,-1,-2,-128
-4,-1,-5,-1,0,-1,1,-128
-2,-4,-4,0,-1,-3,1,-128
-5,-4,4,-1,-1,-4,-2,-128
0,2,-13,-3,-1,-1,0,-128
-2,-6,38,-1,-2,-1,-2,-128
-3,-7,24,-3,-7,-4,-2,-128
0,0,23,-5,-3,-2,-2,-128
-4,1,-36,5,-1,-2,-3,-128
-5,-2,1,-3,-2,-1,0,-128
-1,-2,6,0,0,-1,-1,-128
2,2,1,0,-1,-1,-1,-128
-2,-3,2,-6,-5,-6,-2,-128
-2,-5,-6,0,-4,-2,-2,-128
-1,-2,-1,-1,-1,-2,1,-128
-1,1,16,6,1,1,2,-128
1,-2,-8,-3,-2,-2,-4,-128
-4,-2,-12,-3,0,-2,-4,-128
-2,2,23,-4,-4,-4,-6,-128
-4,-4,-12,-4,-4,0,0,-128
1,-1,-11,3,-4,-1,-1,-128
-1,3,8,-4,3,-2,0,-128
-1,-2,-8,-4,2,0,1,-128
-1,2,11,1,2,0,-4,-128
-1,-2,-30,1,-2,-1,1,-128
